Latitude;Longitude;Image
32.3135168;-6.3957919;images/image_1.jpg
32.2918342;-6.6991613;images/image_2.jpg
34.0089561;-6.8599021;images/image_3.jpg
34.0209795;-6.8256684;images/image_4.jpg
33.9840624;-6.8541722;images/image_5.jpg
34.0286677;-6.8484028;images/image_6.jpg
32.2916924;-6.6992108;images/image_7.jpg
33.9188062;-6.97016;images/image_8.jpg
32.2787462;-6.7019586;images/image_9.jpg
34.0248881;-6.8460619;images/image_10.jpg
34.0248881;-6.8460619;images/image_11.jpg
34.0209795;-6.8256684;images/image_12.jpg
34.0209795;-6.8256684;images/image_13.jpg
33.9676313;-6.8310261;images/image_14.jpg
34.0209795;-6.8256684;images/image_15.jpg
32.2939476;-6.6992375;images/image_16.jpg
33.9676313;-6.8310261;images/image_17.jpg
32.3354794;-6.3562738;images/image_18.jpg
32.2911327;-6.7028725;images/image_19.jpg
32.294288;-6.7043833;images/image_20.jpg
32.2677316;-6.727629;images/image_21.jpg
32.2915924;-6.6991308;images/image_22.jpg
32.2803412;-6.701233;images/image_23.jpg
32.2939476;-6.6992375;images/image_24.jpg
32.2803412;-6.701233;images/image_25.jpg
32.2677316;-6.727629;images/image_26.jpg
